CustomerID,VehicleType,Model,km,StartingStation,DestinationStation,City,Review
1,Bicycle,able668,33.8,Sun Metro Terminal,Four Seasons Town Centre,Lexington,3
1,Bicycle,across985,89.46,Whiting Street Station,Southpoint Mall,Plano,4
1,Bike,operation269,47.15,Penn Station,Civic Center Station,San Antonio,5
1,Car,until703,71.59,Downtown Transit Center,Los Ranchos/Journal Center,Arlington,3
2,Bike,nothing156,86.58,Crown Center,Lakeline Station,Seattle,1
2,Car,sister161,29.54,Downtown Station,Convention Center,Columbus,4
4,Car,until703,27.47,Downtown Transit Center,Linden Station,Raleigh,0
5,Bicycle,build432,68.96,Nicollet Mall Station,Santa Fe Depot,Sacramento,0
5,Bike,out797,10.9,Riverfront Station,Bonneville Transit Center,Corpus Christi,5
5,Car,several464,24.49,Fulton Street,Jeffrey Road Station,Plano,0
5,Car,sport325,97.4,Downtown Station,University Street Station,San Diego,3
6,Bicycle,defense776,7.86,West 25th Street,Central Station,San Francisco,4
6,Bicycle,eat356,11.67,Citadel Mall,Anaheim Canyon,Nashville,1
6,Bike,industry781,39.3,North Side Station,Ballston Metro Station,Fresno,1
6,Bike,medical150,73.84,East 55th Street,Lakeline Station,Indianapolis,4
6,Bike,operation269,23.21,Station Square,Crystal City Station,Washington DC,4
7,Bike,peace145,55.66,Kern Station,Stockton Station,El Paso,5
8,Bicycle,attack869,91.13,Old Town Wichita,Broadway Station,San Jose,2
8,Bicycle,drug756,78.5,Brickell Station,Anaheim Canyon,El Paso,1
8,Bicycle,eight904,90.01,Sahara Station,30th Street Station,Fort Worth,1
8,Car,relate578,12.08,Stockton Station,University of Arizona,Henderson,0
9,Bicycle,anyone997,43.08,Hamburg Pavilion,Tulane Avenue,San Diego,0
9,Bicycle,court705,1.24,East 55th Street,Fayette Mall Station,Denver,2
9,Bicycle,eight904,76.38,Civic Center,Dimond Center,Washington DC,1
9,Bike,out797,10.29,Riverfront Transit Center,Cary Station,Pittsburgh,1
9,Car,seat130,36.47,Downtown Station,Stockton Station,New York,3
9,Car,theory659,39.4,Downtown Station,Downtown Anaheim,Philadelphia,5
10,Bicycle,board485,11.74,LaSalle Street,Stockyards Station,Anaheim,1
10,Car,still338,9.3,Crestview Station,Stockton Station,Irvine,5
11,Bicycle,campaign681,24,Jefferson/1st Ave,Pershing Square,Charlotte,3
